trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_rmse,val_mae,val_corr,val_r2
28,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,256,1,0.0003,0.0,32,25,1.0,60,0.5950769186019897,0.7714123129844666,0.6249043345451355,0.6684419488828162,0.33828991651535034
28,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,256,1,0.0003,0.0,32,25,1.0,60,0.4927000105381012,0.7019259333610535,0.5568643808364868,0.45214565546138247,0.19375628232955933
29,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,0.39659442996310296,0.6297574639320374,0.4897162616252899,0.5921740106635734,0.3435519337654114
29,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,0.511063984621351,0.7148874402046204,0.535065770149231,0.684699044105689,0.4317101240158081
29,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,0.5396152893516505,0.734585165977478,0.5827447175979614,0.42250458690492787,0.116985023021698
30,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,0.38372111320495605,0.6194522976875305,0.5005539059638977,0.6180229914245458,0.3648598790168762
30,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,0.5882970094680786,0.767005205154419,0.5824766755104065,0.627665724959467,0.3458290696144104
30,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,0.48015058040618896,0.6929290890693665,0.557550847530365,0.4754399919250182,0.21429157257080078
31,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,0.4244631456437512,0.6515086889266968,0.5285699963569641,0.5714506198612742,0.2974225878715515
31,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,0.5112011633186697,0.7149779796600342,0.5535657405853271,0.7033286674023757,0.43156617879867554
31,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,0.5223140014666263,0.7227148413658142,0.5671024322509766,0.4203595649202222,0.14529210329055786
32,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.2,128,2,0.0003,0.0001,16,12,1.0,60,0.40401900678037483,0.635624885559082,0.517918050289154,0.5924699249936755,0.33126264810562134
